bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Drake Maye,1.5,2.2,1.62
BetOnline.ag,player_pass_tds,Drake Maye,1.5,2.2,1.64
BetRivers,player_pass_tds,Drake Maye,1.5,2.02,1.75
DraftKings,player_pass_tds,Drake Maye,1.5,2.18,1.67
FanDuel,player_pass_tds,Drake Maye,1.5,2.22,1.62
BetMGM,player_pass_tds,Geno Smith,1.5,2.3,1.57
BetOnline.ag,player_pass_tds,Geno Smith,1.5,2.46,1.52
BetRivers,player_pass_tds,Geno Smith,1.5,2.4,1.53
DraftKings,player_pass_tds,Geno Smith,1.5,2.41,1.56
FanDuel,player_pass_tds,Geno Smith,1.5,2.48,1.5
BetMGM,player_pass_yds,Drake Maye,220.5,1.87,1.87
BetOnline.ag,player_pass_yds,Drake Maye,215.5,1.88,1.88
BetRivers,player_pass_yds,Drake Maye,220.5,1.87,1.87
Caesars,player_pass_yds,Drake Maye,214.5,1.83,1.91
DraftKings,player_pass_yds,Drake Maye,215.5,1.89,1.89
FanDuel,player_pass_yds,Drake Maye,214.5,1.88,1.88
Fanatics,player_pass_yds,Drake Maye,215.5,1.87,1.87
BetMGM,player_pass_yds,Geno Smith,227.5,1.87,1.87
BetOnline.ag,player_pass_yds,Geno Smith,228.5,1.86,1.9
BetRivers,player_pass_yds,Geno Smith,233.5,1.85,1.88
Caesars,player_pass_yds,Geno Smith,228.5,1.87,1.87
DraftKings,player_pass_yds,Geno Smith,226.5,1.9,1.88
FanDuel,player_pass_yds,Geno Smith,228.5,1.88,1.88
Fanatics,player_pass_yds,Geno Smith,230.5,1.87,1.87
BetMGM,player_receptions,Ashton Jeanty,2.5,1.8,1.95
BetOnline.ag,player_receptions,Ashton Jeanty,2.5,1.9,1.86
BetRivers,player_receptions,Ashton Jeanty,2.5,1.83,1.89
DraftKings,player_receptions,Ashton Jeanty,2.5,1.96,1.82
FanDuel,player_receptions,Ashton Jeanty,2.5,1.88,1.88
Fanatics,player_receptions,Ashton Jeanty,2.5,1.87,1.87
BetMGM,player_receptions,Brock Bowers,6.5,2.05,1.71
BetOnline.ag,player_receptions,Brock Bowers,6.5,2.15,1.67
BetRivers,player_receptions,Brock Bowers,6.5,2.0,1.75
DraftKings,player_receptions,Brock Bowers,5.5,1.6,2.28
FanDuel,player_receptions,Brock Bowers,6.5,2.12,1.68
Fanatics,player_receptions,Brock Bowers,6.5,2.2,1.62
BetMGM,player_receptions,DeMario Douglas,3.5,2.1,1.69
BetOnline.ag,player_receptions,DeMario Douglas,3.5,2.1,1.7
BetRivers,player_receptions,DeMario Douglas,3.5,2.08,1.7
DraftKings,player_receptions,DeMario Douglas,3.5,2.03,1.76
FanDuel,player_receptions,DeMario Douglas,3.5,2.14,1.66
Fanatics,player_receptions,DeMario Douglas,3.5,2.15,1.67
BetMGM,player_receptions,Hunter Henry,3.5,2.2,1.62
BetOnline.ag,player_receptions,Hunter Henry,3.5,2.17,1.66
BetRivers,player_receptions,Hunter Henry,3.5,2.2,1.62
DraftKings,player_receptions,Hunter Henry,3.5,2.11,1.7
FanDuel,player_receptions,Hunter Henry,3.5,2.18,1.63
Fanatics,player_receptions,Hunter Henry,3.5,2.2,1.62
BetMGM,player_receptions,Jakobi Meyers,4.5,1.71,2.05
BetOnline.ag,player_receptions,Jakobi Meyers,4.5,1.74,2.04
BetRivers,player_receptions,Jakobi Meyers,4.5,1.68,2.1
DraftKings,player_receptions,Jakobi Meyers,4.5,1.71,2.09
FanDuel,player_receptions,Jakobi Meyers,4.5,1.77,1.98
Fanatics,player_receptions,Jakobi Meyers,5.5,2.45,1.53
BetMGM,player_receptions,Michael Mayer,1.5,1.71,2.05
BetMGM,player_receptions,Rhamondre Stevenson,1.5,1.67,2.1
BetMGM,player_receptions,Stefon Diggs,4.5,1.95,1.8
BetOnline.ag,player_receptions,Stefon Diggs,4.5,1.85,1.91
BetRivers,player_receptions,Stefon Diggs,4.5,1.83,1.91
DraftKings,player_receptions,Stefon Diggs,4.5,1.78,2.0
FanDuel,player_receptions,Stefon Diggs,4.5,1.88,1.88
Fanatics,player_receptions,Stefon Diggs,4.5,1.87,1.87
BetMGM,player_receptions,TreVeyon Henderson,2.5,1.61,2.25
BetOnline.ag,player_receptions,TreVeyon Henderson,2.5,1.58,2.31
BetRivers,player_receptions,TreVeyon Henderson,2.5,1.6,2.25
DraftKings,player_receptions,TreVeyon Henderson,2.5,1.58,2.34
FanDuel,player_receptions,TreVeyon Henderson,2.5,1.58,2.28
Fanatics,player_receptions,TreVeyon Henderson,3.5,2.3,1.59
BetMGM,player_rush_yds,Ashton Jeanty,69.5,1.87,1.87
BetOnline.ag,player_rush_yds,Ashton Jeanty,71.5,1.93,1.83
BetRivers,player_rush_yds,Ashton Jeanty,70.5,1.85,1.88
Caesars,player_rush_yds,Ashton Jeanty,71.5,1.83,1.91
DraftKings,player_rush_yds,Ashton Jeanty,72.5,1.92,1.87
FanDuel,player_rush_yds,Ashton Jeanty,70.5,1.88,1.88
Fanatics,player_rush_yds,Ashton Jeanty,70.5,1.87,1.87
BetMGM,player_rush_yds,Drake Maye,24.5,1.83,1.91
BetOnline.ag,player_rush_yds,Drake Maye,29.5,1.88,1.88
BetRivers,player_rush_yds,Drake Maye,25.5,1.88,1.85
Caesars,player_rush_yds,Drake Maye,28.5,1.77,2.0
DraftKings,player_rush_yds,Drake Maye,26.5,1.88,1.91
FanDuel,player_rush_yds,Drake Maye,29.5,1.88,1.88
Fanatics,player_rush_yds,Drake Maye,30.5,1.95,1.8
BetMGM,player_rush_yds,Geno Smith,6.5,1.83,1.91
BetOnline.ag,player_rush_yds,Geno Smith,8.5,1.74,2.04
BetRivers,player_rush_yds,Geno Smith,8.5,1.87,1.87
Caesars,player_rush_yds,Geno Smith,9.5,1.74,2.05
DraftKings,player_rush_yds,Geno Smith,8.5,1.82,1.97
FanDuel,player_rush_yds,Geno Smith,8.5,1.68,2.12
Fanatics,player_rush_yds,Geno Smith,10.5,1.8,1.95
BetMGM,player_rush_yds,Rhamondre Stevenson,43.5,1.85,1.91
BetOnline.ag,player_rush_yds,Rhamondre Stevenson,41.5,1.89,1.87
BetRivers,player_rush_yds,Rhamondre Stevenson,42.5,1.87,1.88
Caesars,player_rush_yds,Rhamondre Stevenson,42.5,1.95,1.8
DraftKings,player_rush_yds,Rhamondre Stevenson,41.5,1.92,1.87
FanDuel,player_rush_yds,Rhamondre Stevenson,42.5,1.88,1.88
Fanatics,player_rush_yds,Rhamondre Stevenson,40.5,1.83,1.91
BetMGM,player_rush_yds,TreVeyon Henderson,39.5,1.87,1.87
BetOnline.ag,player_rush_yds,TreVeyon Henderson,42.5,1.88,1.88
BetRivers,player_rush_yds,TreVeyon Henderson,41.5,1.85,1.88
Caesars,player_rush_yds,TreVeyon Henderson,42.5,1.83,1.91
DraftKings,player_rush_yds,TreVeyon Henderson,41.5,1.89,1.89
FanDuel,player_rush_yds,TreVeyon Henderson,42.5,1.88,1.88
Fanatics,player_rush_yds,TreVeyon Henderson,40.5,1.8,1.95
