bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Jayden Daniels,1.5,1.91,1.85
BetOnline.ag,player_pass_tds,Jayden Daniels,1.5,1.86,1.9
BetRivers,player_pass_tds,Jayden Daniels,1.5,1.78,1.96
DraftKings,player_pass_tds,Jayden Daniels,1.5,1.83,1.95
FanDuel,player_pass_tds,Jayden Daniels,1.5,1.88,1.88
BetMGM,player_pass_tds,Russell Wilson,1.5,2.4,1.53
BetOnline.ag,player_pass_tds,Russell Wilson,1.5,2.61,1.47
BetRivers,player_pass_tds,Russell Wilson,1.5,2.6,1.44
DraftKings,player_pass_tds,Russell Wilson,1.5,2.49,1.52
FanDuel,player_pass_tds,Russell Wilson,1.5,2.62,1.45
BetMGM,player_pass_yds,Jayden Daniels,223.5,1.87,1.87
BetOnline.ag,player_pass_yds,Jayden Daniels,228.5,1.88,1.88
BetRivers,player_pass_yds,Jayden Daniels,227.5,1.88,1.85
Caesars,player_pass_yds,Jayden Daniels,228.5,1.91,1.83
DraftKings,player_pass_yds,Jayden Daniels,226.5,1.89,1.89
FanDuel,player_pass_yds,Jayden Daniels,228.5,1.88,1.88
Fanatics,player_pass_yds,Jayden Daniels,230.5,1.91,1.83
BetMGM,player_pass_yds,Russell Wilson,213.5,1.87,1.87
BetOnline.ag,player_pass_yds,Russell Wilson,217.5,1.88,1.88
BetRivers,player_pass_yds,Russell Wilson,217.5,1.88,1.85
Caesars,player_pass_yds,Russell Wilson,217.5,1.91,1.83
DraftKings,player_pass_yds,Russell Wilson,216.5,1.89,1.89
FanDuel,player_pass_yds,Russell Wilson,217.5,1.88,1.88
Fanatics,player_pass_yds,Russell Wilson,215.5,1.83,1.91
BetMGM,player_receptions,Austin Ekeler,2.5,1.8,1.95
BetOnline.ag,player_receptions,Austin Ekeler,2.5,1.68,2.13
BetRivers,player_receptions,Austin Ekeler,2.5,1.73,2.04
DraftKings,player_receptions,Austin Ekeler,2.5,1.67,2.17
FanDuel,player_receptions,Austin Ekeler,2.5,1.68,2.1
Fanatics,player_receptions,Austin Ekeler,3.5,2.5,1.5
BetMGM,player_receptions,Darius Slayton,2.5,2.75,1.43
BetOnline.ag,player_receptions,Darius Slayton,2.5,2.67,1.45
BetRivers,player_receptions,Darius Slayton,1.5,1.62,2.2
DraftKings,player_receptions,Darius Slayton,1.5,1.57,2.37
FanDuel,player_receptions,Darius Slayton,1.5,1.53,2.4
Fanatics,player_receptions,Darius Slayton,2.5,2.85,1.4
BetMGM,player_receptions,Deebo Samuel Sr.,4.5,2.25,1.61
BetOnline.ag,player_receptions,Deebo Samuel Sr.,3.5,1.68,2.13
BetRivers,player_receptions,Deebo Samuel Sr.,3.5,1.66,2.15
DraftKings,player_receptions,Deebo Samuel Sr.,3.5,1.65,2.2
FanDuel,player_receptions,Deebo Samuel Sr.,3.5,1.68,2.1
Fanatics,player_receptions,Deebo Samuel Sr.,4.5,2.5,1.5
BetMGM,player_receptions,Malik Nabers,6.5,2.05,1.71
BetOnline.ag,player_receptions,Malik Nabers,6.5,2.1,1.7
BetRivers,player_receptions,Malik Nabers,6.5,2.2,1.63
DraftKings,player_receptions,Malik Nabers,6.5,2.08,1.73
FanDuel,player_receptions,Malik Nabers,6.5,2.1,1.68
Fanatics,player_receptions,Malik Nabers,6.5,2.1,1.69
BetRivers,player_receptions,Noah Brown,1.5,1.62,2.2
BetMGM,player_receptions,Terry McLaurin,4.5,1.71,2.05
BetOnline.ag,player_receptions,Terry McLaurin,4.5,1.67,2.15
BetRivers,player_receptions,Terry McLaurin,4.5,1.71,2.06
