bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Kyler Murray,1.5,2.05,1.71
BetOnline.ag,player_pass_tds,Kyler Murray,1.5,2.12,1.69
BetRivers,player_pass_tds,Kyler Murray,1.5,1.93,1.82
DraftKings,player_pass_tds,Kyler Murray,1.5,2.06,1.74
FanDuel,player_pass_tds,Kyler Murray,1.5,2.16,1.65
BetMGM,player_pass_tds,Spencer Rattler,0.5,1.4,2.8
BetOnline.ag,player_pass_tds,Spencer Rattler,1.5,3.2,1.33
BetRivers,player_pass_tds,Spencer Rattler,0.5,1.38,2.88
DraftKings,player_pass_tds,Spencer Rattler,1.5,3.32,1.31
FanDuel,player_pass_tds,Spencer Rattler,1.5,3.05,1.34
BetMGM,player_pass_yds,Kyler Murray,222.5,1.87,1.87
BetOnline.ag,player_pass_yds,Kyler Murray,223.5,1.89,1.87
BetRivers,player_pass_yds,Kyler Murray,223.5,1.85,1.88
Caesars,player_pass_yds,Kyler Murray,221.5,1.87,1.87
DraftKings,player_pass_yds,Kyler Murray,224.5,1.89,1.89
FanDuel,player_pass_yds,Kyler Murray,221.5,1.88,1.88
Fanatics,player_pass_yds,Kyler Murray,220.5,1.83,1.91
BetMGM,player_pass_yds,Spencer Rattler,184.5,1.87,1.87
BetOnline.ag,player_pass_yds,Spencer Rattler,188.5,1.89,1.87
BetRivers,player_pass_yds,Spencer Rattler,193.5,1.88,1.85
Caesars,player_pass_yds,Spencer Rattler,187.5,1.87,1.87
DraftKings,player_pass_yds,Spencer Rattler,189.5,1.88,1.9
FanDuel,player_pass_yds,Spencer Rattler,187.5,1.88,1.88
Fanatics,player_pass_yds,Spencer Rattler,190.5,1.91,1.83
BetMGM,player_receptions,Alvin Kamara,4.5,1.87,1.87
BetOnline.ag,player_receptions,Alvin Kamara,4.5,1.99,1.78
BetRivers,player_receptions,Alvin Kamara,4.5,2.05,1.72
DraftKings,player_receptions,Alvin Kamara,4.5,1.87,1.9
FanDuel,player_receptions,Alvin Kamara,4.5,2.02,1.74
Fanatics,player_receptions,Alvin Kamara,4.5,2.05,1.71
BetMGM,player_receptions,Chris Olave,4.5,1.95,1.77
BetOnline.ag,player_receptions,Chris Olave,4.5,1.97,1.8
BetRivers,player_receptions,Chris Olave,4.5,1.89,1.83
DraftKings,player_receptions,Chris Olave,4.5,1.89,1.88
FanDuel,player_receptions,Chris Olave,4.5,2.0,1.76
Fanatics,player_receptions,Chris Olave,4.5,1.95,1.8
BetMGM,player_receptions,James Conner,2.5,1.83,1.91
BetOnline.ag,player_receptions,James Conner,2.5,1.86,1.9
BetRivers,player_receptions,James Conner,2.5,1.83,1.91
DraftKings,player_receptions,James Conner,2.5,1.82,1.95
FanDuel,player_receptions,James Conner,2.5,1.88,1.88
Fanatics,player_receptions,James Conner,2.5,1.87,1.87
BetMGM,player_receptions,Juwan Johnson,2.5,1.65,2.15
BetOnline.ag,player_receptions,Juwan Johnson,2.5,1.76,2.02
BetRivers,player_receptions,Juwan Johnson,2.5,1.77,1.97
DraftKings,player_receptions,Juwan Johnson,2.5,1.72,2.09
FanDuel,player_receptions,Juwan Johnson,2.5,1.78,1.96
Fanatics,player_receptions,Juwan Johnson,3.5,2.9,1.38
BetMGM,player_receptions,Marvin Harrison Jr.,4.5,1.83,1.91
BetOnline.ag,player_receptions,Marvin Harrison Jr.,4.5,1.78,1.99
BetRivers,player_receptions,Marvin Harrison Jr.,4.5,1.78,1.97
DraftKings,player_receptions,Marvin Harrison Jr.,4.5,1.8,1.98
FanDuel,player_receptions,Marvin Harrison Jr.,4.5,1.77,1.98
Fanatics,player_receptions,Marvin Harrison Jr.,5.5,2.5,1.5
BetMGM,player_receptions,Michael Wilson,2.5,2.0,1.74
BetOnline.ag,player_receptions,Michael Wilson,2.5,1.98,1.79
BetRivers,player_receptions,Michael Wilson,2.5,1.88,1.85
DraftKings,player_receptions,Michael Wilson,2.5,1.99,1.79
FanDuel,player_receptions,Michael Wilson,2.5,1.98,1.77
Fanatics,player_receptions,Michael Wilson,2.5,1.95,1.8
BetMGM,player_receptions,Rashid Shaheed,2.5,1.54,2.35
BetOnline.ag,player_receptions,Rashid Shaheed,2.5,1.64,2.2
BetRivers,player_receptions,Rashid Shaheed,2.5,1.65,2.15
DraftKings,player_receptions,Rashid Shaheed,2.5,1.65,2.21
FanDuel,player_receptions,Rashid Shaheed,2.5,1.63,2.18
Fanatics,player_receptions,Rashid Shaheed,3.5,2.5,1.5
BetMGM,player_receptions,Trey McBride,6.5,2.15,1.65
BetOnline.ag,player_receptions,Trey McBride,6.5,2.17,1.66
BetRivers,player_receptions,Trey McBride,6.5,2.18,1.63
DraftKings,player_receptions,Trey McBride,6.5,2.16,1.67
FanDuel,player_receptions,Trey McBride,6.5,2.2,1.62
Fanatics,player_receptions,Trey McBride,6.5,2.15,1.67
BetMGM,player_rush_yds,Alvin Kamara,60.5,1.87,1.87
BetOnline.ag,player_rush_yds,Alvin Kamara,59.5,1.88,1.88
BetRivers,player_rush_yds,Alvin Kamara,61.5,1.88,1.85
Caesars,player_rush_yds,Alvin Kamara,61.5,2.0,1.77
DraftKings,player_rush_yds,Alvin Kamara,61.5,1.89,1.89
