bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Jared Goff,1.5,1.95,1.77
BetOnline.ag,player_pass_tds,Jared Goff,1.5,2.03,1.75
BetRivers,player_pass_tds,Jared Goff,1.5,1.93,1.8
DraftKings,player_pass_tds,Jared Goff,1.5,2.09,1.72
FanDuel,player_pass_tds,Jared Goff,1.5,2.0,1.76
BetMGM,player_pass_tds,Jordan Love,1.5,1.91,1.83
BetOnline.ag,player_pass_tds,Jordan Love,1.5,1.98,1.79
BetRivers,player_pass_tds,Jordan Love,1.5,1.95,1.79
DraftKings,player_pass_tds,Jordan Love,1.5,1.9,1.87
FanDuel,player_pass_tds,Jordan Love,1.5,2.02,1.74
BetMGM,player_pass_yds,Jared Goff,237.5,1.91,1.85
BetOnline.ag,player_pass_yds,Jared Goff,241.5,1.88,1.88
BetRivers,player_pass_yds,Jared Goff,236.5,1.88,1.85
Caesars,player_pass_yds,Jared Goff,241.5,1.83,1.91
DraftKings,player_pass_yds,Jared Goff,241.5,1.9,1.88
FanDuel,player_pass_yds,Jared Goff,241.5,1.88,1.88
Fanatics,player_pass_yds,Jared Goff,235.5,1.87,1.87
BetMGM,player_pass_yds,Jordan Love,235.5,1.87,1.87
BetOnline.ag,player_pass_yds,Jordan Love,234.5,1.88,1.88
BetRivers,player_pass_yds,Jordan Love,237.5,1.85,1.88
Caesars,player_pass_yds,Jordan Love,234.5,1.87,1.87
DraftKings,player_pass_yds,Jordan Love,233.5,1.88,1.89
FanDuel,player_pass_yds,Jordan Love,234.5,1.88,1.88
Fanatics,player_pass_yds,Jordan Love,230.5,1.87,1.87
BetMGM,player_receptions,Amon-Ra St. Brown,6.5,2.0,1.74
BetOnline.ag,player_receptions,Amon-Ra St. Brown,6.5,2.02,1.76
BetRivers,player_receptions,Amon-Ra St. Brown,6.5,1.97,1.76
DraftKings,player_receptions,Amon-Ra St. Brown,6.5,2.0,1.78
FanDuel,player_receptions,Amon-Ra St. Brown,6.5,2.02,1.74
Fanatics,player_receptions,Amon-Ra St. Brown,6.5,2.0,1.77
BetMGM,player_receptions,David Montgomery,1.5,1.69,2.1
BetMGM,player_receptions,Isaac TeSlaa,1.5,1.61,2.25
BetOnline.ag,player_receptions,Isaac TeSlaa,1.5,1.54,2.41
BetRivers,player_receptions,Isaac TeSlaa,1.5,1.51,2.45
DraftKings,player_receptions,Isaac TeSlaa,1.5,1.52,2.49
FanDuel,player_receptions,Isaac TeSlaa,1.5,1.56,2.32
Fanatics,player_receptions,Isaac TeSlaa,2.5,2.4,1.56
BetMGM,player_receptions,Jahmyr Gibbs,2.5,1.69,2.2
BetOnline.ag,player_receptions,Jahmyr Gibbs,2.5,1.64,2.21
BetRivers,player_receptions,Jahmyr Gibbs,2.5,1.56,2.3
DraftKings,player_receptions,Jahmyr Gibbs,2.5,1.61,2.28
FanDuel,player_receptions,Jahmyr Gibbs,2.5,1.65,2.16
Fanatics,player_receptions,Jahmyr Gibbs,3.5,2.5,1.5
BetMGM,player_receptions,Jameson Williams,3.5,1.83,1.91
BetOnline.ag,player_receptions,Jameson Williams,3.5,1.92,1.84
BetRivers,player_receptions,Jameson Williams,3.5,1.83,1.91
DraftKings,player_receptions,Jameson Williams,3.5,1.81,1.96
FanDuel,player_receptions,Jameson Williams,3.5,1.93,1.82
Fanatics,player_receptions,Jameson Williams,3.5,2.0,1.77
BetMGM,player_receptions,Josh Jacobs,2.5,2.5,1.5
BetOnline.ag,player_receptions,Josh Jacobs,2.5,2.64,1.46
BetRivers,player_receptions,Josh Jacobs,2.5,2.4,1.54
DraftKings,player_receptions,Josh Jacobs,1.5,1.52,2.51
FanDuel,player_receptions,Josh Jacobs,2.5,2.54,1.48
Fanatics,player_receptions,Josh Jacobs,2.5,2.65,1.44
BetMGM,player_receptions,Matthew Golden,3.5,1.77,1.95
BetOnline.ag,player_receptions,Matthew Golden,3.5,1.68,2.14
BetRivers,player_receptions,Matthew Golden,3.5,1.64,2.17
DraftKings,player_receptions,Matthew Golden,3.5,1.69,2.13
FanDuel,player_receptions,Matthew Golden,3.5,1.68,2.12
Fanatics,player_receptions,Matthew Golden,3.5,1.71,2.05
BetMGM,player_receptions,Romeo Doubs,2.5,1.61,2.3
BetMGM,player_receptions,Sam LaPorta,3.5,1.69,2.1
BetOnline.ag,player_receptions,Sam LaPorta,3.5,1.8,1.97
BetRivers,player_receptions,Sam LaPorta,3.5,1.74,2.02
DraftKings,player_receptions,Sam LaPorta,3.5,1.72,2.08
FanDuel,player_receptions,Sam LaPorta,3.5,1.82,1.94
Fanatics,player_receptions,Sam LaPorta,3.5,1.83,1.91
BetMGM,player_receptions,Tucker Kraft,3.5,1.95,1.77
BetOnline.ag,player_receptions,Tucker Kraft,3.5,2.1,1.7
BetRivers,player_receptions,Tucker Kraft,3.5,2.0,1.76
