bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Justin Herbert,1.5,2.1,1.69
BetOnline.ag,player_pass_tds,Justin Herbert,1.5,2.2,1.64
BetRivers,player_pass_tds,Justin Herbert,1.5,2.23,1.61
DraftKings,player_pass_tds,Justin Herbert,1.5,2.15,1.68
FanDuel,player_pass_tds,Justin Herbert,1.5,2.24,1.6
BetMGM,player_pass_tds,Patrick Mahomes,1.5,1.71,2.05
BetOnline.ag,player_pass_tds,Patrick Mahomes,1.5,1.74,2.05
BetRivers,player_pass_tds,Patrick Mahomes,1.5,1.61,2.23
DraftKings,player_pass_tds,Patrick Mahomes,1.5,1.73,2.07
FanDuel,player_pass_tds,Patrick Mahomes,1.5,1.72,2.04
BetMGM,player_pass_yds,Justin Herbert,226.5,1.87,1.87
BetOnline.ag,player_pass_yds,Justin Herbert,231.5,1.88,1.88
BetRivers,player_pass_yds,Justin Herbert,225.5,1.88,1.87
Caesars,player_pass_yds,Justin Herbert,231.5,1.95,1.8
DraftKings,player_pass_yds,Justin Herbert,226.5,1.9,1.88
FanDuel,player_pass_yds,Justin Herbert,231.5,1.88,1.88
Fanatics,player_pass_yds,Justin Herbert,230.5,1.87,1.87
BetMGM,player_pass_yds,Patrick Mahomes,249.5,1.87,1.87
BetOnline.ag,player_pass_yds,Patrick Mahomes,242.5,1.88,1.88
BetRivers,player_pass_yds,Patrick Mahomes,246.5,1.88,1.85
Caesars,player_pass_yds,Patrick Mahomes,240.5,1.77,2.0
DraftKings,player_pass_yds,Patrick Mahomes,242.5,1.89,1.89
FanDuel,player_pass_yds,Patrick Mahomes,240.5,1.88,1.88
Fanatics,player_pass_yds,Patrick Mahomes,240.5,1.83,1.91
BetMGM,player_receptions,Isiah Pacheco,1.5,1.61,2.25
BetOnline.ag,player_receptions,Isiah Pacheco,1.5,1.59,2.29
DraftKings,player_receptions,Isiah Pacheco,1.5,1.57,2.36
FanDuel,player_receptions,Isiah Pacheco,1.5,1.6,2.26
BetMGM,player_receptions,JuJu Smith-Schuster,1.5,1.5,2.45
DraftKings,player_receptions,JuJu Smith-Schuster,1.5,1.54,2.44
FanDuel,player_receptions,JuJu Smith-Schuster,1.5,1.51,2.46
BetMGM,player_receptions,Kareem Hunt,0.5,1.54,2.35
BetMGM,player_receptions,Keenan Allen,3.5,1.91,1.83
BetOnline.ag,player_receptions,Keenan Allen,3.5,2.02,1.76
BetRivers,player_receptions,Keenan Allen,3.5,1.87,1.88
DraftKings,player_receptions,Keenan Allen,3.5,2.01,1.78
FanDuel,player_receptions,Keenan Allen,3.5,2.02,1.74
BetMGM,player_receptions,Ladd McConkey,5.5,1.87,1.87
BetOnline.ag,player_receptions,Ladd McConkey,5.5,1.84,1.92
BetRivers,player_receptions,Ladd McConkey,5.5,1.78,1.96
DraftKings,player_receptions,Ladd McConkey,5.5,1.87,1.9
FanDuel,player_receptions,Ladd McConkey,5.5,1.82,1.93
Fanatics,player_receptions,Ladd McConkey,5.5,1.83,1.91
BetMGM,player_receptions,Marquise Brown,3.5,1.85,1.91
BetOnline.ag,player_receptions,Marquise Brown,3.5,1.93,1.83
BetRivers,player_receptions,Marquise Brown,3.5,1.93,1.81
