bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Brock Purdy,1.5,1.83,1.91
BetOnline.ag,player_pass_tds,Brock Purdy,1.5,1.77,2.0
BetRivers,player_pass_tds,Brock Purdy,1.5,1.88,1.85
DraftKings,player_pass_tds,Brock Purdy,1.5,1.78,2.01
FanDuel,player_pass_tds,Brock Purdy,1.5,1.77,1.98
BetMGM,player_pass_tds,Sam Darnold,1.5,2.45,1.53
BetOnline.ag,player_pass_tds,Sam Darnold,1.5,2.3,1.59
BetRivers,player_pass_tds,Sam Darnold,1.5,2.4,1.54
DraftKings,player_pass_tds,Sam Darnold,1.5,2.46,1.53
FanDuel,player_pass_tds,Sam Darnold,1.5,2.24,1.6
BetMGM,player_pass_yds,Brock Purdy,245.5,1.87,1.87
BetOnline.ag,player_pass_yds,Brock Purdy,243.5,1.88,1.88
BetRivers,player_pass_yds,Brock Purdy,238.5,1.88,1.85
Caesars,player_pass_yds,Brock Purdy,243.5,2.0,1.77
DraftKings,player_pass_yds,Brock Purdy,240.5,1.88,1.9
FanDuel,player_pass_yds,Brock Purdy,243.5,1.88,1.88
Fanatics,player_pass_yds,Brock Purdy,245.5,1.91,1.83
BetMGM,player_pass_yds,Sam Darnold,199.5,1.87,1.87
BetOnline.ag,player_pass_yds,Sam Darnold,204.5,1.84,1.92
BetRivers,player_pass_yds,Sam Darnold,204.5,1.85,1.88
Caesars,player_pass_yds,Sam Darnold,205.5,1.91,1.83
DraftKings,player_pass_yds,Sam Darnold,204.5,1.88,1.9
FanDuel,player_pass_yds,Sam Darnold,205.5,1.88,1.88
Fanatics,player_pass_yds,Sam Darnold,205.5,1.87,1.87
BetMGM,player_receptions,AJ Barner,1.5,1.53,2.4
BetMGM,player_receptions,Christian McCaffrey,4.5,2.0,1.74
BetOnline.ag,player_receptions,Christian McCaffrey,4.5,2.06,1.73
BetRivers,player_receptions,Christian McCaffrey,4.5,1.96,1.78
DraftKings,player_receptions,Christian McCaffrey,4.5,2.04,1.76
FanDuel,player_receptions,Christian McCaffrey,4.5,2.06,1.71
