bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Daniel Jones,1.5,2.5,1.5
BetOnline.ag,player_pass_tds,Daniel Jones,1.5,2.46,1.52
BetRivers,player_pass_tds,Daniel Jones,1.5,2.4,1.53
DraftKings,player_pass_tds,Daniel Jones,1.5,2.53,1.51
FanDuel,player_pass_tds,Daniel Jones,1.5,2.44,1.52
BetMGM,player_pass_tds,Tua Tagovailoa,1.5,1.83,1.91
BetOnline.ag,player_pass_tds,Tua Tagovailoa,1.5,2.06,1.73
BetRivers,player_pass_tds,Tua Tagovailoa,1.5,1.85,1.88
DraftKings,player_pass_tds,Tua Tagovailoa,1.5,1.95,1.82
FanDuel,player_pass_tds,Tua Tagovailoa,1.5,2.12,1.68
BetMGM,player_pass_yds,Daniel Jones,205.5,1.87,1.87
BetOnline.ag,player_pass_yds,Daniel Jones,198.5,1.86,1.9
BetRivers,player_pass_yds,Daniel Jones,201.5,1.87,1.87
Caesars,player_pass_yds,Daniel Jones,197.5,1.74,2.05
DraftKings,player_pass_yds,Daniel Jones,198.5,1.88,1.9
FanDuel,player_pass_yds,Daniel Jones,197.5,1.88,1.88
Fanatics,player_pass_yds,Daniel Jones,195.5,1.87,1.87
BetMGM,player_pass_yds,Tua Tagovailoa,254.5,1.87,1.87
BetOnline.ag,player_pass_yds,Tua Tagovailoa,243.5,1.88,1.88
BetRivers,player_pass_yds,Tua Tagovailoa,248.5,1.88,1.87
Caesars,player_pass_yds,Tua Tagovailoa,243.5,1.83,1.91
DraftKings,player_pass_yds,Tua Tagovailoa,250.5,1.89,1.89
FanDuel,player_pass_yds,Tua Tagovailoa,243.5,1.88,1.88
Fanatics,player_pass_yds,Tua Tagovailoa,240.5,1.87,1.87
FanDuel,player_receptions,De'Von Achane,4.5,1.94,1.8
Fanatics,player_receptions,De'Von Achane,4.5,1.95,1.8
BetMGM,player_receptions,Jaylen Waddle,4.5,1.77,2.0
BetOnline.ag,player_receptions,Jaylen Waddle,4.5,1.77,2.0
BetRivers,player_receptions,Jaylen Waddle,4.5,1.65,2.16
DraftKings,player_receptions,Jaylen Waddle,4.5,1.79,1.99
FanDuel,player_receptions,Jaylen Waddle,4.5,1.76,2.0
Fanatics,player_receptions,Jaylen Waddle,5.5,2.5,1.5
BetMGM,player_receptions,Jonathan Taylor,2.5,2.4,1.53
DraftKings,player_receptions,Jonathan Taylor,1.5,1.59,2.32
BetMGM,player_receptions,Josh Downs,4.5,1.91,1.83
BetMGM,player_receptions,Malik Washington,1.5,1.61,2.3
BetMGM,player_receptions,Michael Pittman Jr.,4.5,1.95,1.8
BetMGM,player_receptions,Tyler Warren,3.5,1.85,1.87
BetMGM,player_receptions,Tyreek Hill,5.5,1.74,2.0
BetOnline.ag,player_receptions,Tyreek Hill,5.5,1.77,2.01
BetRivers,player_receptions,Tyreek Hill,5.5,1.73,2.02
DraftKings,player_receptions,Tyreek Hill,5.5,1.77,2.02
FanDuel,player_receptions,Tyreek Hill,5.5,1.76,2.0
Fanatics,player_receptions,Tyreek Hill,6.5,2.45,1.53
BetMGM,player_rush_yds,Daniel Jones,24.5,2.0,1.74
BetOnline.ag,player_rush_yds,Daniel Jones,22.5,1.92,1.84
BetRivers,player_rush_yds,Daniel Jones,20.5,1.87,1.87
Caesars,player_rush_yds,Daniel Jones,22.5,1.87,1.87
DraftKings,player_rush_yds,Daniel Jones,22.5,1.89,1.89
FanDuel,player_rush_yds,Daniel Jones,21.5,1.88,1.88
Fanatics,player_rush_yds,Daniel Jones,20.5,1.83,1.91
BetMGM,player_rush_yds,De'Von Achane,58.5,1.77,1.95
BetOnline.ag,player_rush_yds,De'Von Achane,62.5,1.9,1.86
BetRivers,player_rush_yds,De'Von Achane,61.5,1.87,1.87
DraftKings,player_rush_yds,De'Von Achane,62.5,1.89,1.89
FanDuel,player_rush_yds,De'Von Achane,61.5,1.88,1.88
Fanatics,player_rush_yds,De'Von Achane,60.5,1.87,1.87
BetMGM,player_rush_yds,Jonathan Taylor,79.5,1.87,1.87
BetRivers,player_rush_yds,Jonathan Taylor,77.5,1.88,1.85
Caesars,player_rush_yds,Jonathan Taylor,79.5,1.87,1.87
DraftKings,player_rush_yds,Jonathan Taylor,81.5,1.88,1.91
FanDuel,player_rush_yds,Jonathan Taylor,78.5,1.88,1.88
Fanatics,player_rush_yds,Jonathan Taylor,80.5,1.87,1.87
BetMGM,player_rush_yds,Tua Tagovailoa,2.5,1.8,1.95
