bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Caleb Williams,1.5,2.3,1.57
BetOnline.ag,player_pass_tds,Caleb Williams,1.5,2.18,1.65
BetRivers,player_pass_tds,Caleb Williams,1.5,2.18,1.63
DraftKings,player_pass_tds,Caleb Williams,1.5,2.26,1.62
FanDuel,player_pass_tds,Caleb Williams,1.5,2.16,1.65
BetMGM,player_pass_tds,J.J. McCarthy,1.5,2.15,1.67
BetOnline.ag,player_pass_tds,J.J. McCarthy,1.5,2.15,1.67
BetRivers,player_pass_tds,J.J. McCarthy,1.5,2.18,1.64
DraftKings,player_pass_tds,J.J. McCarthy,1.5,2.19,1.66
FanDuel,player_pass_tds,J.J. McCarthy,1.5,2.16,1.65
BetMGM,player_pass_yds,Caleb Williams,217.5,1.87,1.87
BetOnline.ag,player_pass_yds,Caleb Williams,219.5,1.89,1.87
BetRivers,player_pass_yds,Caleb Williams,220.5,1.87,1.87
Caesars,player_pass_yds,Caleb Williams,218.5,1.83,1.91
DraftKings,player_pass_yds,Caleb Williams,220.5,1.9,1.88
FanDuel,player_pass_yds,Caleb Williams,218.5,1.88,1.88
Fanatics,player_pass_yds,Caleb Williams,215.5,1.83,1.91
BetMGM,player_pass_yds,J.J. McCarthy,223.5,1.85,1.87
BetOnline.ag,player_pass_yds,J.J. McCarthy,222.5,1.9,1.86
BetRivers,player_pass_yds,J.J. McCarthy,220.5,1.88,1.85
Caesars,player_pass_yds,J.J. McCarthy,220.5,1.77,2.0
DraftKings,player_pass_yds,J.J. McCarthy,222.5,1.89,1.89
FanDuel,player_pass_yds,J.J. McCarthy,220.5,1.88,1.88
Fanatics,player_pass_yds,J.J. McCarthy,220.5,1.87,1.87
BetMGM,player_receptions,Aaron Jones,2.5,1.8,1.95
BetOnline.ag,player_receptions,Aaron Jones,2.5,1.8,1.97
BetRivers,player_receptions,Aaron Jones,2.5,1.81,1.93
DraftKings,player_receptions,Aaron Jones,2.5,1.86,1.91
FanDuel,player_receptions,Aaron Jones,2.5,1.76,2.0
