bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,C.J. Stroud,1.5,2.15,1.67
BetOnline.ag,player_pass_tds,C.J. Stroud,1.5,2.17,1.66
BetRivers,player_pass_tds,C.J. Stroud,1.5,2.18,1.63
DraftKings,player_pass_tds,C.J. Stroud,1.5,2.22,1.64
FanDuel,player_pass_tds,C.J. Stroud,1.5,2.16,1.65
BetMGM,player_pass_tds,Matthew Stafford,1.5,2.0,1.74
BetOnline.ag,player_pass_tds,Matthew Stafford,1.5,1.88,1.88
BetRivers,player_pass_tds,Matthew Stafford,1.5,1.92,1.82
DraftKings,player_pass_tds,Matthew Stafford,1.5,1.89,1.88
FanDuel,player_pass_tds,Matthew Stafford,1.5,1.88,1.88
BetMGM,player_pass_yds,C.J. Stroud,231.5,1.87,1.87
BetOnline.ag,player_pass_yds,C.J. Stroud,234.5,1.88,1.88
BetRivers,player_pass_yds,C.J. Stroud,226.5,1.88,1.85
Caesars,player_pass_yds,C.J. Stroud,233.5,1.87,1.87
DraftKings,player_pass_yds,C.J. Stroud,234.5,1.9,1.88
FanDuel,player_pass_yds,C.J. Stroud,233.5,1.88,1.88
Fanatics,player_pass_yds,C.J. Stroud,230.5,1.87,1.87
BetMGM,player_pass_yds,Matthew Stafford,232.5,1.87,1.87
BetOnline.ag,player_pass_yds,Matthew Stafford,240.5,1.88,1.88
BetRivers,player_pass_yds,Matthew Stafford,240.5,1.88,1.85
Caesars,player_pass_yds,Matthew Stafford,240.5,1.91,1.83
DraftKings,player_pass_yds,Matthew Stafford,237.5,1.88,1.9
FanDuel,player_pass_yds,Matthew Stafford,240.5,1.88,1.88
Fanatics,player_pass_yds,Matthew Stafford,240.5,1.87,1.87
BetMGM,player_receptions,Christian Kirk,3.5,1.85,1.91
BetOnline.ag,player_receptions,Christian Kirk,3.5,1.88,1.88
BetRivers,player_receptions,Christian Kirk,3.5,1.88,1.85
DraftKings,player_receptions,Christian Kirk,3.5,1.93,1.85
FanDuel,player_receptions,Christian Kirk,3.5,2.0,1.76
Fanatics,player_receptions,Christian Kirk,3.5,2.0,1.77
BetMGM,player_receptions,Dalton Schultz,2.5,1.77,2.0
BetOnline.ag,player_receptions,Dalton Schultz,2.5,1.89,1.87
BetRivers,player_receptions,Dalton Schultz,2.5,1.94,1.8
DraftKings,player_receptions,Dalton Schultz,2.5,1.85,1.92
FanDuel,player_receptions,Dalton Schultz,2.5,1.93,1.82
Fanatics,player_receptions,Dalton Schultz,2.5,1.87,1.87
BetMGM,player_receptions,Davante Adams,4.5,1.67,2.15
