bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Josh Allen,1.5,1.77,1.95
BetOnline.ag,player_pass_tds,Josh Allen,1.5,1.81,1.95
BetRivers,player_pass_tds,Josh Allen,1.5,1.82,1.93
DraftKings,player_pass_tds,Josh Allen,1.5,1.79,2.0
FanDuel,player_pass_tds,Josh Allen,1.5,1.83,1.91
BetMGM,player_pass_tds,Lamar Jackson,1.5,1.74,2.0
BetOnline.ag,player_pass_tds,Lamar Jackson,1.5,1.81,1.96
BetRivers,player_pass_tds,Lamar Jackson,1.5,1.8,1.94
DraftKings,player_pass_tds,Lamar Jackson,1.5,1.86,1.91
FanDuel,player_pass_tds,Lamar Jackson,1.5,1.78,1.96
BetMGM,player_pass_yds,Josh Allen,236.5,1.87,1.87
BetOnline.ag,player_pass_yds,Josh Allen,236.5,1.88,1.88
BetRivers,player_pass_yds,Josh Allen,230.5,1.87,1.87
Caesars,player_pass_yds,Josh Allen,236.5,1.87,1.87
DraftKings,player_pass_yds,Josh Allen,234.5,1.9,1.88
FanDuel,player_pass_yds,Josh Allen,236.5,1.88,1.88
Fanatics,player_pass_yds,Josh Allen,235.5,1.87,1.87
BetMGM,player_pass_yds,Lamar Jackson,223.5,1.87,1.87
BetOnline.ag,player_pass_yds,Lamar Jackson,233.5,1.88,1.88
BetRivers,player_pass_yds,Lamar Jackson,226.5,1.87,1.87
Caesars,player_pass_yds,Lamar Jackson,233.5,1.91,1.83
DraftKings,player_pass_yds,Lamar Jackson,226.5,1.9,1.88
FanDuel,player_pass_yds,Lamar Jackson,233.5,1.88,1.88
Fanatics,player_pass_yds,Lamar Jackson,235.5,1.87,1.87
BetMGM,player_receptions,Derrick Henry,1.5,2.65,1.45
BetMGM,player_receptions,James Cook,1.5,1.65,2.15
DraftKings,player_receptions,Mark Andrews,3.5,1.64,2.23
FanDuel,player_receptions,Mark Andrews,4.5,2.4,1.53
Fanatics,player_receptions,Mark Andrews,4.5,2.45,1.53
BetMGM,player_receptions,Rashod Bateman,2.5,1.71,2.05
DraftKings,player_receptions,Rashod Bateman,2.5,1.83,1.95
FanDuel,player_receptions,Rashod Bateman,2.5,1.72,2.04
Fanatics,player_receptions,Rashod Bateman,3.5,2.65,1.44
BetMGM,player_receptions,Zay Flowers,4.5,1.85,1.91
BetOnline.ag,player_receptions,Zay Flowers,4.5,1.93,1.83
BetRivers,player_receptions,Zay Flowers,4.5,1.91,1.83
DraftKings,player_receptions,Zay Flowers,4.5,1.93,1.84
FanDuel,player_receptions,Zay Flowers,4.5,1.93,1.82
Fanatics,player_receptions,Zay Flowers,4.5,1.87,1.87
BetMGM,player_rush_yds,Derrick Henry,82.5,1.87,1.87
BetOnline.ag,player_rush_yds,Derrick Henry,83.5,1.88,1.88
BetRivers,player_rush_yds,Derrick Henry,82.5,1.87,1.88
Caesars,player_rush_yds,Derrick Henry,83.5,1.87,1.87
DraftKings,player_rush_yds,Derrick Henry,82.5,1.91,1.88
FanDuel,player_rush_yds,Derrick Henry,83.5,1.88,1.88
Fanatics,player_rush_yds,Derrick Henry,85.5,1.91,1.83
BetMGM,player_rush_yds,James Cook,52.5,1.85,1.91
BetOnline.ag,player_rush_yds,James Cook,55.5,1.91,1.85
BetRivers,player_rush_yds,James Cook,54.5,1.88,1.85
Caesars,player_rush_yds,James Cook,55.5,1.87,1.87
DraftKings,player_rush_yds,James Cook,55.5,1.91,1.88
FanDuel,player_rush_yds,James Cook,54.5,1.88,1.88
Fanatics,player_rush_yds,James Cook,55.5,1.91,1.83
BetMGM,player_rush_yds,Josh Allen,32.5,1.87,1.87
BetOnline.ag,player_rush_yds,Josh Allen,32.5,1.93,1.83
BetRivers,player_rush_yds,Josh Allen,30.5,1.83,1.89
Caesars,player_rush_yds,Josh Allen,32.5,1.87,1.87
DraftKings,player_rush_yds,Josh Allen,33.5,1.88,1.91
FanDuel,player_rush_yds,Josh Allen,31.5,1.88,1.88
Fanatics,player_rush_yds,Josh Allen,30.5,1.83,1.91
BetMGM,player_rush_yds,Justice Hill,8.5,1.87,1.87
Caesars,player_rush_yds,Justice Hill,8.5,1.87,1.87
BetMGM,player_rush_yds,Lamar Jackson,47.5,1.85,1.91
BetOnline.ag,player_rush_yds,Lamar Jackson,47.5,1.89,1.87
BetRivers,player_rush_yds,Lamar Jackson,45.5,1.85,1.88
Caesars,player_rush_yds,Lamar Jackson,47.5,1.87,1.87
DraftKings,player_rush_yds,Lamar Jackson,48.5,1.91,1.88
FanDuel,player_rush_yds,Lamar Jackson,46.5,1.88,1.88
Fanatics,player_rush_yds,Lamar Jackson,45.5,1.87,1.87
BetMGM,player_rush_yds,Ray Davis,15.5,1.85,1.91
Caesars,player_rush_yds,Ray Davis,17.5,1.87,1.87
DraftKings,player_rush_yds,Ray Davis,17.5,1.92,1.87
FanDuel,player_rush_yds,Ray Davis,17.5,1.88,1.88
Fanatics,player_rush_yds,Ray Davis,20.5,2.05,1.71
