bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Joe Burrow,2.5,2.65,1.45
BetOnline.ag,player_pass_tds,Joe Burrow,2.5,2.78,1.42
BetRivers,player_pass_tds,Joe Burrow,1.5,1.44,2.65
DraftKings,player_pass_tds,Joe Burrow,1.5,1.54,2.44
FanDuel,player_pass_tds,Joe Burrow,2.5,2.68,1.43
BetMGM,player_pass_tds,Joe Flacco,1.5,2.0,1.74
BetOnline.ag,player_pass_tds,Joe Flacco,1.5,2.13,1.68
BetRivers,player_pass_tds,Joe Flacco,1.5,2.02,1.75
DraftKings,player_pass_tds,Joe Flacco,1.5,2.18,1.67
FanDuel,player_pass_tds,Joe Flacco,1.5,2.12,1.68
BetMGM,player_pass_yds,Joe Burrow,268.5,1.87,1.87
BetOnline.ag,player_pass_yds,Joe Burrow,263.5,1.88,1.88
BetRivers,player_pass_yds,Joe Burrow,265.5,1.87,1.87
Caesars,player_pass_yds,Joe Burrow,263.5,1.87,1.87
DraftKings,player_pass_yds,Joe Burrow,262.5,1.89,1.89
FanDuel,player_pass_yds,Joe Burrow,263.5,1.88,1.88
Fanatics,player_pass_yds,Joe Burrow,260.5,1.87,1.87
BetMGM,player_pass_yds,Joe Flacco,236.5,1.87,1.87
BetOnline.ag,player_pass_yds,Joe Flacco,238.5,1.86,1.9
BetRivers,player_pass_yds,Joe Flacco,243.5,1.87,1.87
Caesars,player_pass_yds,Joe Flacco,235.5,1.87,1.87
DraftKings,player_pass_yds,Joe Flacco,238.5,1.88,1.9
FanDuel,player_pass_yds,Joe Flacco,235.5,1.88,1.88
Fanatics,player_pass_yds,Joe Flacco,235.5,1.87,1.87
BetMGM,player_receptions,Andrei Iosivas,2.5,2.45,1.53
BetOnline.ag,player_receptions,Andrei Iosivas,2.5,2.46,1.52
BetRivers,player_receptions,Andrei Iosivas,2.5,2.35,1.56
DraftKings,player_receptions,Andrei Iosivas,2.5,2.37,1.57
FanDuel,player_receptions,Andrei Iosivas,2.5,2.48,1.5
Fanatics,player_receptions,Andrei Iosivas,2.5,2.45,1.53
BetMGM,player_receptions,Cedric Tillman,3.5,2.2,1.62
BetOnline.ag,player_receptions,Cedric Tillman,3.5,2.22,1.63
BetRivers,player_receptions,Cedric Tillman,3.5,2.18,1.64
DraftKings,player_receptions,Cedric Tillman,3.5,2.17,1.67
FanDuel,player_receptions,Cedric Tillman,3.5,2.24,1.6
Fanatics,player_receptions,Cedric Tillman,3.5,2.25,1.61
BetMGM,player_receptions,Chase Brown,2.5,1.62,2.2
BetOnline.ag,player_receptions,Chase Brown,3.5,2.41,1.54
BetRivers,player_receptions,Chase Brown,3.5,2.3,1.57
DraftKings,player_receptions,Chase Brown,3.5,2.51,1.51
FanDuel,player_receptions,Chase Brown,2.5,1.65,2.16
Fanatics,player_receptions,Chase Brown,3.5,2.35,1.57
BetMGM,player_receptions,David Njoku,4.5,1.69,2.1
BetOnline.ag,player_receptions,David Njoku,4.5,1.81,1.96
BetRivers,player_receptions,David Njoku,4.5,1.88,1.85
DraftKings,player_receptions,David Njoku,4.5,1.77,2.02
FanDuel,player_receptions,David Njoku,4.5,1.82,1.93
Fanatics,player_receptions,David Njoku,4.5,1.8,1.95
BetMGM,player_receptions,Ja'Marr Chase,6.5,1.77,1.95
BetOnline.ag,player_receptions,Ja'Marr Chase,6.5,1.97,1.8
BetRivers,player_receptions,Ja'Marr Chase,6.5,1.92,1.83
DraftKings,player_receptions,Ja'Marr Chase,6.5,1.89,1.88
FanDuel,player_receptions,Ja'Marr Chase,6.5,1.98,1.77
Fanatics,player_receptions,Ja'Marr Chase,6.5,2.0,1.77
BetMGM,player_receptions,Jamari Thrash,1.5,1.95,1.8
BetMGM,player_receptions,Jerry Jeudy,4.5,1.85,1.91
BetOnline.ag,player_receptions,Jerry Jeudy,4.5,2.0,1.77
BetRivers,player_receptions,Jerry Jeudy,4.5,2.02,1.75
DraftKings,player_receptions,Jerry Jeudy,4.5,1.92,1.85
FanDuel,player_receptions,Jerry Jeudy,4.5,2.06,1.71
Fanatics,player_receptions,Jerry Jeudy,4.5,1.95,1.8
BetMGM,player_receptions,Mike Gesicki,2.5,1.95,1.77
BetOnline.ag,player_receptions,Mike Gesicki,2.5,1.88,1.88
BetRivers,player_receptions,Mike Gesicki,2.5,1.78,1.97
DraftKings,player_receptions,Mike Gesicki,2.5,1.86,1.91
FanDuel,player_receptions,Mike Gesicki,2.5,1.88,1.88
Fanatics,player_receptions,Mike Gesicki,2.5,1.87,1.87
BetMGM,player_receptions,Tee Higgins,5.5,2.1,1.69
BetOnline.ag,player_receptions,Tee Higgins,5.5,2.18,1.65
BetRivers,player_receptions,Tee Higgins,5.5,2.08,1.7
DraftKings,player_receptions,Tee Higgins,5.5,2.16,1.68
