bookmaker,market,player,line,over,under
BetMGM,player_pass_tds,Dak Prescott,1.5,2.05,1.69
BetOnline.ag,player_pass_tds,Dak Prescott,1.5,2.1,1.7
BetRivers,player_pass_tds,Dak Prescott,1.5,2.23,1.61
DraftKings,player_pass_tds,Dak Prescott,1.5,2.09,1.72
FanDuel,player_pass_tds,Dak Prescott,1.5,2.12,1.68
BetMGM,player_pass_tds,Jalen Hurts,1.5,2.2,1.65
BetOnline.ag,player_pass_tds,Jalen Hurts,1.5,2.18,1.65
BetRivers,player_pass_tds,Jalen Hurts,1.5,2.12,1.67
DraftKings,player_pass_tds,Jalen Hurts,1.5,2.2,1.65
FanDuel,player_pass_tds,Jalen Hurts,1.5,2.2,1.62
BetMGM,player_pass_yds,Dak Prescott,245.5,1.87,1.87
BetOnline.ag,player_pass_yds,Dak Prescott,248.5,1.88,1.88
BetRivers,player_pass_yds,Dak Prescott,244.5,1.87,1.87
Caesars,player_pass_yds,Dak Prescott,249.5,1.91,1.83
DraftKings,player_pass_yds,Dak Prescott,247.5,1.88,1.9
FanDuel,player_pass_yds,Dak Prescott,248.5,1.88,1.88
Fanatics,player_pass_yds,Dak Prescott,245.5,1.87,1.87
BetMGM,player_pass_yds,Jalen Hurts,216.5,1.87,1.87
BetOnline.ag,player_pass_yds,Jalen Hurts,214.5,1.93,1.83
BetRivers,player_pass_yds,Jalen Hurts,220.5,1.87,1.87
Caesars,player_pass_yds,Jalen Hurts,212.5,1.87,1.87
DraftKings,player_pass_yds,Jalen Hurts,215.5,1.89,1.89
FanDuel,player_pass_yds,Jalen Hurts,212.5,1.88,1.88
Fanatics,player_pass_yds,Jalen Hurts,215.5,1.87,1.87
BetMGM,player_receptions,AJ Brown,5.5,2.15,1.67
BetOnline.ag,player_receptions,AJ Brown,5.5,2.17,1.66
BetRivers,player_receptions,AJ Brown,5.5,2.2,1.63
DraftKings,player_receptions,AJ Brown,5.5,2.14,1.69
FanDuel,player_receptions,AJ Brown,4.5,1.62,2.22
Fanatics,player_receptions,AJ Brown,5.5,2.25,1.61
BetMGM,player_receptions,CeeDee Lamb,6.5,2.0,1.77
BetOnline.ag,player_receptions,CeeDee Lamb,6.5,2.07,1.72
BetRivers,player_receptions,CeeDee Lamb,6.5,1.88,1.85
DraftKings,player_receptions,CeeDee Lamb,6.5,2.01,1.78
FanDuel,player_receptions,CeeDee Lamb,6.5,2.08,1.69
Fanatics,player_receptions,CeeDee Lamb,6.5,2.1,1.69
BetMGM,player_receptions,Dallas Goedert,3.5,1.8,1.95
BetOnline.ag,player_receptions,Dallas Goedert,3.5,1.98,1.79
BetRivers,player_receptions,Dallas Goedert,3.5,1.93,1.81
DraftKings,player_receptions,Dallas Goedert,3.5,1.93,1.84
FanDuel,player_receptions,Dallas Goedert,3.5,1.98,1.77
Fanatics,player_receptions,Dallas Goedert,3.5,1.95,1.8
BetMGM,player_receptions,DeVonta Smith,4.5,1.95,1.77
BetOnline.ag,player_receptions,DeVonta Smith,4.5,1.95,1.81
BetRivers,player_receptions,DeVonta Smith,4.5,1.93,1.81
DraftKings,player_receptions,DeVonta Smith,4.5,1.93,1.85
FanDuel,player_receptions,DeVonta Smith,4.5,1.94,1.8
Fanatics,player_receptions,DeVonta Smith,4.5,1.95,1.8
BetMGM,player_receptions,George Pickens,4.5,2.25,1.61
BetOnline.ag,player_receptions,George Pickens,4.5,2.18,1.65
BetRivers,player_receptions,George Pickens,4.5,2.16,1.64
DraftKings,player_receptions,George Pickens,4.5,2.16,1.68
FanDuel,player_receptions,George Pickens,4.5,2.2,1.62
Fanatics,player_receptions,George Pickens,4.5,2.2,1.62
BetMGM,player_receptions,Jake Ferguson,3.5,1.65,2.15
BetOnline.ag,player_receptions,Jake Ferguson,3.5,1.75,2.03
BetRivers,player_receptions,Jake Ferguson,3.5,1.7,2.08
DraftKings,player_receptions,Jake Ferguson,3.5,1.72,2.08
FanDuel,player_receptions,Jake Ferguson,3.5,1.77,1.98
Fanatics,player_receptions,Jake Ferguson,3.5,1.8,1.95
BetMGM,player_receptions,Javonte Williams,2.5,2.1,1.67
BetOnline.ag,player_receptions,Javonte Williams,2.5,2.39,1.55
DraftKings,player_receptions,Javonte Williams,2.5,2.36,1.57
FanDuel,player_receptions,Javonte Williams,2.5,2.4,1.53
Fanatics,player_receptions,Javonte Williams,2.5,2.4,1.56
BetMGM,player_receptions,Saquon Barkley,2.5,2.45,1.5
BetOnline.ag,player_receptions,Saquon Barkley,2.5,2.67,1.45
BetRivers,player_receptions,Saquon Barkley,1.5,1.67,2.14
DraftKings,player_receptions,Saquon Barkley,2.5,2.69,1.45
FanDuel,player_receptions,Saquon Barkley,2.5,2.58,1.47
Fanatics,player_receptions,Saquon Barkley,2.5,2.75,1.42
BetMGM,player_rush_yds,Dak Prescott,6.5,1.91,1.83
BetOnline.ag,player_rush_yds,Dak Prescott,6.5,1.93,1.83
BetRivers,player_rush_yds,Dak Prescott,6.5,1.82,1.92
Caesars,player_rush_yds,Dak Prescott,6.5,2.0,1.77
DraftKings,player_rush_yds,Dak Prescott,7.5,1.89,1.89
FanDuel,player_rush_yds,Dak Prescott,6.5,1.93,1.82
Fanatics,player_rush_yds,Dak Prescott,5.5,1.77,2.0
BetMGM,player_rush_yds,Jalen Hurts,34.5,1.74,2.0
BetOnline.ag,player_rush_yds,Jalen Hurts,36.5,1.87,1.89
BetRivers,player_rush_yds,Jalen Hurts,34.5,1.85,1.88
Caesars,player_rush_yds,Jalen Hurts,37.5,1.83,1.91
DraftKings,player_rush_yds,Jalen Hurts,36.5,1.91,1.88
FanDuel,player_rush_yds,Jalen Hurts,36.5,1.88,1.88
Fanatics,player_rush_yds,Jalen Hurts,35.5,1.87,1.87
BetMGM,player_rush_yds,Javonte Williams,36.5,1.71,2.05
BetOnline.ag,player_rush_yds,Javonte Williams,38.5,1.88,1.88
BetRivers,player_rush_yds,Javonte Williams,34.5,1.85,1.88
Caesars,player_rush_yds,Javonte Williams,38.5,1.83,1.91
DraftKings,player_rush_yds,Javonte Williams,37.5,1.88,1.91
FanDuel,player_rush_yds,Javonte Williams,38.5,1.88,1.88
Fanatics,player_rush_yds,Javonte Williams,40.5,1.95,1.8
BetMGM,player_rush_yds,Saquon Barkley,94.5,1.77,2.0
BetOnline.ag,player_rush_yds,Saquon Barkley,94.5,1.89,1.87
BetRivers,player_rush_yds,Saquon Barkley,96.5,1.85,1.88
Caesars,player_rush_yds,Saquon Barkley,94.5,1.83,1.91
DraftKings,player_rush_yds,Saquon Barkley,95.5,1.88,1.91
FanDuel,player_rush_yds,Saquon Barkley,93.5,1.88,1.88
Fanatics,player_rush_yds,Saquon Barkley,90.5,1.83,1.91
